                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                0.45585,                0.92258,                0.95994,                0.72642,                 0.8578,                0.90041,                0.72515,                0.83399,                0.77061,                 1.2914,             0.00089902,             0.00089902,             0.00089902
                     53,                0.42518,                0.90216,                0.95089,                 0.6933,                 0.9266,                0.92392,                0.72387,                0.88983,                0.72485,                   1.28,             0.00089704,             0.00089704,             0.00089704
                     54,                0.44884,                 0.9036,                 0.9605,                0.68604,                 0.9176,                0.95061,                0.74854,                0.85191,                0.67744,                 1.3048,             0.00089506,             0.00089506,             0.00089506
                     55,                0.46192,                0.96043,                 0.9722,                0.70038,                0.91292,                0.93529,                0.71579,                0.90203,                0.68175,                 1.3202,             0.00089308,             0.00089308,             0.00089308
                     56,                0.42494,                0.87364,                0.94882,                0.92557,                0.79784,                0.92296,                0.69779,                0.97183,                0.70657,                 1.3459,              0.0008911,              0.0008911,              0.0008911
                     57,                0.43862,                0.90143,                0.96635,                0.80415,                0.94444,                0.96934,                0.77045,                0.83719,                0.65098,                 1.2812,             0.00088912,             0.00088912,             0.00088912
                     58,                0.41294,                0.87347,                0.93425,                0.75908,                0.94444,                0.95226,                0.74159,                 0.8462,                0.71616,                 1.3195,             0.00088714,             0.00088714,             0.00088714
                     59,                0.43094,                0.89278,                0.95703,                0.68957,                0.97222,                0.91503,                0.73441,                0.88489,                0.67625,                 1.3202,             0.00088516,             0.00088516,             0.00088516
                     60,                0.42585,                0.93871,                0.96509,                0.64126,                0.90393,                0.93063,                0.72997,                0.84946,                0.88713,                 1.3632,             0.00088318,             0.00088318,             0.00088318
                     61,                0.44347,                0.91681,                 0.9685,                0.73055,                0.92241,                0.90775,                0.72844,                0.82439,                0.59107,                 1.2962,              0.0008812,              0.0008812,              0.0008812
                     62,                0.41842,                0.84583,                0.95357,                0.66627,                0.88889,                0.89556,                0.72618,                0.82627,                0.69363,                 1.3287,             0.00087922,             0.00087922,             0.00087922
                     63,                0.43462,                0.81945,                0.95626,                0.71706,                0.95342,                0.93359,                0.75852,                0.80351,                0.73233,                 1.2398,             0.00087724,             0.00087724,             0.00087724
                     64,                0.42546,                0.87565,                0.94078,                0.92675,                0.72031,                0.91348,                0.74793,                 0.8152,                0.72006,                 1.2726,             0.00087526,             0.00087526,             0.00087526
                     65,                0.41998,                0.89443,                0.95262,                0.69213,                   0.95,                0.87584,                0.67399,                0.95361,                0.84487,                 1.3276,             0.00087328,             0.00087328,             0.00087328
                     66,                 0.4176,                0.85837,                0.94657,                0.76724,                0.73519,                0.78982,                0.58593,                0.98708,                 1.2667,                 1.3627,              0.0008713,              0.0008713,              0.0008713
                     67,                0.41183,                0.82457,                0.94459,                0.77709,                0.89086,                0.92085,                 0.7358,                0.85766,                 0.6829,                 1.3265,             0.00086932,             0.00086932,             0.00086932
                     68,                0.41789,                0.85934,                0.94466,                0.68339,                0.79654,                0.81477,                0.64939,                 0.8651,                 1.0338,                 1.3153,             0.00086734,             0.00086734,             0.00086734
                     69,                0.40498,                0.86462,                0.94704,                0.74441,                    0.9,                0.88407,                0.72211,                0.75907,                0.61921,                 1.2822,             0.00086536,             0.00086536,             0.00086536
                     70,                0.39791,                0.82607,                0.94694,                0.65081,                0.94444,                0.86873,                 0.6801,                0.81412,                0.73257,                 1.2598,             0.00086338,             0.00086338,             0.00086338
                     71,                0.40215,                0.79742,                0.94425,                0.69548,                0.79705,                0.88021,                0.68146,                0.86162,                0.89686,                 1.3093,              0.0008614,              0.0008614,              0.0008614
                     72,                0.40092,                0.75902,                0.94083,                 0.7797,                0.94444,                0.93867,                 0.7733,                 0.7452,                0.56663,                  1.217,             0.00085942,             0.00085942,             0.00085942
                     73,                0.38203,                0.78755,                0.93557,                0.79649,                0.88955,                 0.9375,                0.74539,                 0.8603,                0.67615,                 1.3222,             0.00085744,             0.00085744,             0.00085744
                     74,                0.39395,                0.85048,                 0.9416,                0.74993,                0.94932,                0.97194,                0.75986,                0.89189,                0.64804,                 1.3062,             0.00085546,             0.00085546,             0.00085546
                     75,                0.42564,                0.82139,                0.95566,                0.74375,                0.88889,                0.90812,                0.73064,                0.83674,                0.65278,                 1.2905,             0.00085348,             0.00085348,             0.00085348
                     76,                0.40511,                0.79047,                0.94949,                0.78398,                0.97181,                0.95514,                0.74717,                0.88736,                0.65639,                 1.3237,              0.0008515,              0.0008515,              0.0008515
                     77,                  0.409,                0.75842,                0.93481,                0.77297,                0.95232,                0.94929,                0.75147,                0.82828,                0.57058,                 1.3211,             0.00084952,             0.00084952,             0.00084952
